description,type,name,region_s,year,price
5 CIGARS: SPECIFY BRAND,Presents,Cigars,South East,1990,1.35
5 CIGARS: SPECIFY BRAND,Presents,Cigars,South West,1990,1.26
5 CIGARS: SPECIFY BRAND,Presents,Cigars,East Anglia,1990,1.3
5 CIGARS: SPECIFY BRAND,Presents,Cigars,East Midlands,1990,1.3
5 CIGARS: SPECIFY BRAND,Presents,Cigars,West Midlands,1990,1.25
5 CIGARS: SPECIFY BRAND,Presents,Cigars,Yorkshire & Humber,1990,1.35
5 CIGARS: SPECIFY BRAND,Presents,Cigars,North West,1990,1.29
5 CIGARS: SPECIFY BRAND,Presents,Cigars,North,1990,1.29
5 CIGARS: SPECIFY BRAND,Presents,Cigars,Wales,1990,1.35
5 CIGARS: SPECIFY BRAND,Presents,Cigars,Scotland,1990,1.28
5 CIGARS: SPECIFY BRAND,Presents,Cigars,Northern Ireland,1990,1.4
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,London,1990,6.6500001
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,South East,1990,6.8499999
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,South West,1990,6.46
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,East Anglia,1990,6.8499999
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,East Midlands,1990,5.3499999
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,West Midlands,1990,5.3000002
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,Yorkshire & Humber,1990,5.25
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,North West,1990,5.6999998
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,North,1990,5.0999999
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,Wales,1990,5.9499998
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,Scotland,1990,5.6500001
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,Northern Ireland,1990,6.8000002
CHILD'S PLASTIC DOLL,Presents,Doll,London,1990,14.35
CHILD'S PLASTIC DOLL,Presents,Doll,South East,1990,13.99
CHILD'S PLASTIC DOLL,Presents,Doll,South West,1990,14.99
CHILD'S PLASTIC DOLL,Presents,Doll,East Anglia,1990,14.99
CHILD'S PLASTIC DOLL,Presents,Doll,East Midlands,1990,10.99
CHILD'S PLASTIC DOLL,Presents,Doll,West Midlands,1990,11.95
CHILD'S PLASTIC DOLL,Presents,Doll,Yorkshire & Humber,1990,8.9899998
CHILD'S PLASTIC DOLL,Presents,Doll,North West,1990,13.45
CHILD'S PLASTIC DOLL,Presents,Doll,North,1990,15.99
CHILD'S PLASTIC DOLL,Presents,Doll,Wales,1990,14.95
CHILD'S PLASTIC DOLL,Presents,Doll,Scotland,1990,14.95
CHILD'S PLASTIC DOLL,Presents,Doll,Northern Ireland,1990,14.99
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,London,1990,18
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,South East,1990,19.75
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,South West,1990,29.950001
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,East Anglia,1990,32.5
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,East Midlands,1990,19.75
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,West Midlands,1990,26.389999
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,Yorkshire & Humber,1990,30
